date,added,removed
2009-04-12,AA|AAPL|ABT|AEP|AES|AIG|ALL|AMGN|AMZN|AVP|AXP|BA|BAC|BAX|BHI|BK|BMY|BNI|C|CAT|CBS|CI|CL|CMCSA|COF|COP|COV|CPB|CSCO|CVS|CVX|DD|DELL|DIS|DOW|EMC|EP|ETR|EXC|F|FDX|GD|GE|GOOG|GS|HAL|HD|HIG|HNZ|HON|HPQ|IBM|INTC|IP|JNJ|JPM|KFT|KO|MA|MCD|MDT|MMM|MO|MRK|MS|MSFT|NOV|NSC|NYX|ORCL|OXY|PEP|PFE|PG|PM|QCOM|RF|RTN|S|SLB|SLE|SO|T|TGT|TWX|TXN|TYC|UNH|UPS|USB|UTX|VZ|WB|WFC|WMB|WMT|WY|WYE|XOM|XRX,
2010-01-25,COST|DVN|FCX|GILD|LMT|LOW|MET|MON|NKE|NWSA|WAG,AES|AIG|CBS|CI|EP|HIG|IP|TYC|WB|WYE
2010-11-01,BRK.B,BNI|COV
2012-11-13,ACN|APA|APC|EBAY|EMR|LLY|SBUX|SPG|UNP|V,AA|AVP|CPB|ETR|NYX|RF|S|SLE|WY|XRX
2013-02-01,,KFT
2013-05-30,CTS|MDLZ,
2015-03-23,ABBV|AIG|BIIB|FB|FOXA|GM|WBA,AEP|BHI|CTS|DELL|HNZ|NWSA|WAG|WMB
2015-11-24,BLK,HPQ
2016-04-17,NEE,APC
2016-07-18,DHR|DUK,DVN|NSC
2016-10-13,AGN|CELG|FOX|GOOGL|KMI|PCLN|PYPL,APA|BAX|EBAY|FCX|NOV
2016-12-13,KHC,EMC
2017-12-13,CHTR|DWDP,DD|DOW
2019-01-21,BKNG|NFLX|NVDA,MON|PCLN|TWX
2019-04-15,DOW,HAL
2019-05-27,ADBE,FOX|FOXA
2019-06-24,,DWDP
2019-06-26,DD,
2020-01-06,TMO,CELG
2020-04-25,AMT|RTX,RTN|UTX
2020-06-19,CRM,AGN
2020-12-15,BRK-B,BRK.B
2021-01-28,BRK.B|TSLA,BRK-B|OXY
2021-04-01,AVGO|LIN|TMUS,ALL|KMI|SLB
2022-03-20,SCHW,BIIB
2022-06-18,META,FB
2022-10-14,AMD,DD
2023-10-10,DE,WBA
2024-04-09,INTU,EXC
2025-03-28,ISRG|NOW|PLTR,DOW|F|KHC
2025-10-19,UBER,CHTR
