date,tickers
2010-01-04,"XOM,MSFT,WMT,GOOGL,AAPL,PG,JNJ,JPM,IBM,CVX,PFE,BAC,WFC,CSCO,KO,T,ORCL,INTC,MRK,GS,GE,PEP,C,PM,VZ,SLB,QCOM,MCD,OXY,DIS,COP,AMZN,UPS,AMGN,HPQ,MMM,ESRX,MDT,AXP,CMCSA,HD,CVS,BMY,USB,V,BA,MO,CL,MS,ABT"
2010-01-05,"XOM,MSFT,WMT,GOOGL,AAPL,PG,JNJ,JPM,IBM,CVX,BAC,WFC,PFE,CSCO,KO,T,ORCL,INTC,MRK,GS,C,GE,PEP,PM,VZ,SLB,QCOM,MCD,OXY,DIS,COP,AMZN,UPS,HPQ,AMGN,MDT,MMM,HD,AXP,ESRX,CMCSA,CVS,USB,BMY,BA,MS,CL,MO,V,ABT"
2010-01-06,"XOM,MSFT,WMT,GOOGL,AAPL,PG,JNJ,JPM,IBM,CVX,BAC,WFC,PFE,CSCO,KO,T,ORCL,INTC,MRK,C,GS,GE,PEP,PM,VZ,SLB,QCOM,MCD,OXY,DIS,COP,AMZN,UPS,HPQ,AMGN,MDT,MMM,AXP,HD,ESRX,CMCSA,USB,CVS,BA,BMY,MS,MO,CL,V,GILD"
2010-01-07,"XOM,MSFT,WMT,AAPL,GOOGL,JPM,PG,JNJ,IBM,CVX,BAC,WFC,PFE,CSCO,KO,ORCL,T,INTC,MRK,GS,C,GE,PEP,PM,VZ,SLB,QCOM,MCD,OXY,DIS,COP,AMZN,UPS,HPQ,AMGN,MDT,MMM,AXP,HD,ESRX,CMCSA,CVS,USB,BA,MS,BMY,MO,CL,V,GILD"
2010-01-08,"XOM,MSFT,WMT,AAPL,GOOGL,PG,JPM,JNJ,IBM,CVX,BAC,WFC,PFE,CSCO,KO,ORCL,T,INTC,MRK,GE,GS,C,PEP,PM,SLB,VZ,QCOM,MCD,OXY,DIS,COP,UPS,AMZN,HPQ,AMGN,MDT,ESRX,MMM,AXP,HD,CMCSA,CVS,USB,BA,BMY,MS,MO,V,ABT,CL"
2010-01-11,"XOM,MSFT,WMT,GOOGL,AAPL,JNJ,PG,JPM,CVX,IBM,BAC,WFC,PFE,CSCO,KO,ORCL,T,INTC,MRK,GE,C,GS,PEP,PM,VZ,SLB,QCOM,MCD,OXY,UPS,COP,DIS,AMZN,HPQ,AMGN,MDT,MMM,ESRX,AXP,CMCSA,HD,CVS,USB,BA,BMY,MS,MO,V,ABT,F"
2010-01-12,"XOM,MSFT,WMT,AAPL,GOOGL,PG,JNJ,JPM,IBM,CVX,BAC,WFC,PFE,CSCO,KO,ORCL,T,INTC,MRK,GE,C,GS,PEP,PM,VZ,SLB,QCOM,MCD,OXY,UPS,COP,DIS,AMZN,HPQ,AMGN,MDT,MMM,AXP,ESRX,HD,CMCSA,CVS,USB,BA,BMY,MO,MS,V,ABT,GILD"
2010-01-13,"XOM,MSFT,WMT,AAPL,GOOGL,PG,JNJ,JPM,IBM,CVX,BAC,WFC,PFE,CSCO,KO,ORCL,T,INTC,MRK,GE,GS,C,PEP,PM,SLB,VZ,QCOM,MCD,OXY,UPS,COP,DIS,AMZN,HPQ,AMGN,MDT,AXP,MMM,ESRX,CMCSA,HD,USB,CVS,BA,BMY,MO,MS,V,GILD,ABT"
2010-01-14,"XOM,MSFT,WMT,AAPL,GOOGL,PG,JNJ,JPM,IBM,CVX,BAC,WFC,PFE,CSCO,KO,ORCL,MRK,INTC,T,GE,C,GS,PEP,PM,SLB,VZ,QCOM,MCD,OXY,UPS,COP,DIS,AMZN,HPQ,AMGN,MDT,AXP,ESRX,MMM,USB,HD,CMCSA,CVS,BA,BMY,MO,V,MS,GILD,ABT"
2010-01-15,"XOM,MSFT,WMT,AAPL,GOOGL,PG,JNJ,JPM,IBM,CVX,BAC,PFE,WFC,CSCO,KO,ORCL,MRK,INTC,T,GE,PEP,GS,C,PM,SLB,VZ,QCOM,MCD,UPS,OXY,COP,DIS,AMZN,HPQ,AMGN,MDT,AXP,MMM,ESRX,HD,CMCSA,USB,CVS,BA,BMY,MO,GILD,ABT,V,MS"
