symbol,start_date,end_date
AAPL,2020-12-25,2025-12-25
ABBV,2020-12-25,2025-12-25
ABT,2020-12-25,2025-12-25
ACN,2020-12-25,2025-12-25
ADBE,2020-12-25,2025-12-25
ADI,2020-12-25,2025-12-25
ADM,2020-12-25,2025-12-25
ADP,2020-12-25,2025-12-25
ADSK,2020-12-25,2025-12-25
AEP,2020-12-25,2025-12-25
AJG,2020-12-25,2025-12-25
AMAT,2020-12-25,2025-12-25
AMD,2020-12-25,2025-12-25
AMGN,2020-12-25,2025-12-25
AMT,2020-12-25,2025-12-25
AMZN,2020-12-25,2025-12-25
ANET,2020-12-25,2025-12-25
AON,2020-12-25,2025-12-25
APD,2020-12-25,2025-12-25
APH,2020-12-25,2025-12-25
APP,2020-12-25,2025-12-25
AVGO,2020-12-25,2025-12-25
AXP,2020-12-25,2025-12-25
BA,2020-12-25,2025-12-25
BAC,2020-12-25,2025-12-25
BDX,2020-12-25,2025-12-25
BKNG,2020-12-25,2025-12-25
BLK,2020-12-25,2025-12-25
BMY,2020-12-25,2025-12-25
BSX,2020-12-25,2025-12-25
BX,2020-12-25,2025-12-25
C,2020-12-25,2025-12-25
CAT,2020-12-25,2025-12-25
CB,2020-12-25,2025-12-25
CCI,2020-12-25,2025-12-25
CDNS,2020-12-25,2025-12-25
CEG,2020-12-25,2025-12-25
CHTR,2020-12-25,2025-12-25
CI,2020-12-25,2025-12-25
CL,2020-12-25,2025-12-25
CMCSA,2020-12-25,2025-12-25
CME,2020-12-25,2025-12-25
COF,2020-12-25,2025-12-25
COP,2020-12-25,2025-12-25
COST,2020-12-25,2025-12-25
CRM,2020-12-25,2025-12-25
CRWD,2020-12-25,2025-12-25
CSCO,2020-12-25,2025-12-25
CSX,2020-12-25,2025-12-25
CTAS,2020-12-25,2025-12-25
CTSH,2020-12-25,2025-12-25
CVS,2020-12-25,2025-12-25
CVX,2020-12-25,2025-12-25
DE,2020-12-25,2025-12-25
DHR,2020-12-25,2025-12-25
DIS,2020-12-25,2025-12-25
DUK,2020-12-25,2025-12-25
EL,2020-12-25,2025-12-25
EQIX,2020-12-25,2025-12-25
FIS,2020-12-25,2025-12-25
GE,2020-12-25,2025-12-25
GILD,2020-12-25,2025-12-25
GOOG,2020-12-25,2025-12-25
GOOGL,2020-12-25,2025-12-25
GS,2020-12-25,2025-12-25
HCA,2020-12-25,2025-12-25
HD,2020-12-25,2025-12-25
HON,2020-12-25,2025-12-25
HOOD,2020-12-25,2025-12-25
IBM,2020-12-25,2025-12-25
INTC,2020-12-25,2025-12-25
INTU,2020-12-25,2025-12-25
ISRG,2020-12-25,2025-12-25
JNJ,2020-12-25,2025-12-25
JPM,2020-12-25,2025-12-25
KO,2020-12-25,2025-12-25
LB,2020-12-25,2025-12-25
LIN,2020-12-25,2025-12-25
LLY,2020-12-25,2025-12-25
LOW,2020-12-25,2025-12-25
LRCX,2020-12-25,2025-12-25
MA,2020-12-25,2025-12-25
MCD,2020-12-25,2025-12-25
MDT,2020-12-25,2025-12-25
META,2020-12-25,2025-12-25
MRK,2020-12-25,2025-12-25
MS,2020-12-25,2025-12-25
MSFT,2020-12-25,2025-12-25
MU,2020-12-25,2025-12-25
NEE,2020-12-25,2025-12-25
NFLX,2020-12-25,2025-12-25
NKE,2020-12-25,2025-12-25
NOW,2020-12-25,2025-12-25
NVDA,2020-12-25,2025-12-25
ORCL,2020-12-25,2025-12-25
PEP,2020-12-25,2025-12-25
PFE,2020-12-25,2025-12-25
PG,2020-12-25,2025-12-25
PLD,2020-12-25,2025-12-25
PLTR,2020-12-25,2025-12-25
PM,2020-12-25,2025-12-25
PYPL,2020-12-25,2025-12-25
QCOM,2020-12-25,2025-12-25
RTX,2020-12-25,2025-12-25
SCHW,2020-12-25,2025-12-25
T,2020-12-25,2025-12-25
TMO,2020-12-25,2025-12-25
TMUS,2020-12-25,2025-12-25
TSLA,2020-12-25,2025-12-25
TXN,2020-12-25,2025-12-25
UBER,2020-12-25,2025-12-25
UNH,2020-12-25,2025-12-25
UNP,2020-12-25,2025-12-25
UPS,2020-12-25,2025-12-25
V,2020-12-25,2025-12-25
VZ,2020-12-25,2025-12-25
WFC,2020-12-25,2025-12-25
WMT,2020-12-25,2025-12-25
XOM,2020-12-25,2025-12-25
