date,added,removed
2021-02-01,AAPL|ABBV|ABT|ACN|ADBE|ADI|ADP|AMAT|AMD|AMGN|AMT|AMZN|AVGO|AXP|BA|BAC|BDX|BLK|BMY|C|CAT|CCI|CHTR|CMCSA|CME|COST|CRM|CSCO|CVS|CVX|DE|DHR|DIS|DUK|EQIX|FIS|GILD|GOOG|GOOGL|GS|HD|HON|IBM|INTC|INTU|ISRG|JNJ|JPM|MSFT|TSLA,
2021-03-01,BKNG|COF|EL|GE,BDX|CCI|DUK|EQIX
2021-04-01,KO|LB|LLY|MA|MCD|MDT|MRK|NEE|NFLX|NKE|NVDA|ORCL|PEP|PFE|PG|PYPL|QCOM|T|TMO|TMUS|TXN|UNH|V|VZ|WMT|XOM,ADI|ADP|AMAT|AMD|AMGN|AMT|AXP|BKNG|BLK|BMY|C|CAT|CHTR|CME|COF|CVS|DE|EL|FIS|GE|GILD|GS|HON|IBM|INTU|ISRG
2021-05-01,UPS,TMUS
2021-06-01,PM|TMUS,NEE|QCOM
2021-08-01,AMD|NEE|QCOM,PM|T|UPS
2021-09-01,MS|PM,LB|TMUS
2021-10-01,INTU,QCOM
2021-11-01,UPS|WFC,MDT|PM
2021-12-01,LIN|QCOM,BA|UPS
2022-01-01,BA|UPS,MS|WFC
2022-02-01,MS|WFC,INTU|LIN
2022-03-01,PM|UNP,MS|PYPL
2022-04-01,ADI|ADM|ADP|ADSK|AEP|AJG|AMAT|AMGN|AMT|ANET|AON|APD|APH|AXP|BDX|BKNG|BLK|BMY|BSX|C|CAT|CB|CCI|CDNS|CHTR|CI|CL|CME|COF|COP|CSX|CTAS|CTSH|CVS,DHR|DIS|GOOG|GOOGL|HD|INTC|JNJ|JPM|KO|LLY|MA|MCD|MRK|NEE|NFLX|NKE|NVDA|ORCL|PEP|PFE|PG|PM|QCOM|TMO|TSLA|TXN|UNH|UNP|UPS|V|VZ|WFC|WMT|XOM
2022-05-01,DHR|DIS|GOOG|GOOGL|HD|INTC|JNJ|JPM|KO|LIN|LLY|MA|MCD|MRK|NEE|NKE|NVDA|ORCL|PEP|PFE|PG|PLD|PM|QCOM|TMO|TMUS|TSLA|TXN|UNH|UNP|V|VZ|WMT|XOM,ADI|ADM|ADP|ADSK|AEP|AJG|AMAT|AMGN|AMT|ANET|AON|APD|APH|AXP|BA|BDX|BKNG|BLK|BSX|C|CAT|CB|CCI|CDNS|CHTR|CI|CL|CME|COF|COP|CSX|CTAS|CTSH|CVS
2022-06-01,COP|T|WFC,NKE|PLD|UNP
2022-07-01,AMGN|META|UPS,AMD|COP|WFC
2022-08-01,AMD|WFC,AMGN|T
2022-09-01,MS|UNP,AMD|LIN
2022-10-01,AMGN|COP|CVS|LIN|SCHW,ADBE|CMCSA|QCOM|UNP|UPS
2022-11-01,ADBE,CVS
2022-12-01,UPS,CRM
2023-01-01,BA|NKE|RTX,INTC|UPS|WFC
2023-02-01,AMD|CMCSA|CRM|HON|IBM|INTC|INTU|LOW|NFLX|PLD|QCOM,RTX|SCHW|TMO|TMUS|TSLA|TXN|UNH|V|VZ|WMT|XOM
2023-03-01,AXP|CAT|DE,INTU|LOW|PLD
2023-04-01,TMO|TMUS|TSLA|TXN|UNH|UPS|V|VZ|WMT|XOM,AMGN|AXP|CAT|CMCSA|COP|DE|HON|IBM|MS|QCOM
2023-05-01,CMCSA|MS,NFLX|UPS
2023-06-01,NFLX,NKE
2023-07-01,WFC,BMY
2023-08-01,COP,VZ
2023-09-01,INTU|VZ,MS|WFC
2023-10-01,AMGN,NEE
2023-11-01,IBM,TXN
2023-12-01,NOW,COP
2024-02-01,WFC,PM
2024-03-01,AMAT|CAT|QCOM|UBER,AMGN|BA|CMCSA|PFE
2024-04-01,COP,UBER
2024-05-01,AXP|GE|PFE|TXN,COP|IBM|INTC|NOW
2024-06-01,AMGN|CMCSA|COP|IBM|INTC|ISRG|PM|RTX,META|MRK|NFLX|NVDA|ORCL|PEP|PFE|PG
2024-07-01,META|MRK|NFLX|NOW|NVDA|ORCL|PEP|PG,AXP|CAT|CMCSA|COP|INTC|ISRG|PM|RTX
2024-08-01,AXP|PFE|PM,AMAT|DIS|NOW
2024-09-01,NOW,PFE
2024-10-01,CAT|NEE,AMGN|INTU
2024-11-01,AMGN|DIS|INTU|ISRG|MS,CAT|COST|CRM|CSCO|NEE
2024-12-01,CAT|COST|CRM|CSCO,AMGN|DHR|INTU|QCOM
2025-02-01,GS|PLTR|QCOM,CAT|TXN|VZ
2025-03-01,T|VZ,AMD|QCOM
2025-04-01,INTU|RTX,ADBE|GS
2025-05-01,GS|UBER,DIS|TMO
2025-06-01,AMD|DIS,PEP|UBER
2025-07-01,TXN|UBER,ACN|VZ
2025-08-01,CAT|PEP|VZ,ISRG|TXN|UBER
2025-10-01,APP|MU|TMO|UBER,INTU|NOW|T|VZ
2025-11-01,ANET|LRCX,APP|LIN
2025-12-01,ACN|ADBE|ADI|ADP|AMAT|AMGN|AMT|APH|APP|BA|BKNG|BLK|BMY|BSX|BX|C|CB|CDNS|CEG|CMCSA|CME|COF|COP|CRWD|CVS|GILD|HCA|HON|HOOD|INTU,DIS|JNJ|JPM|KO|LLY|LRCX|MA|MCD|META|MRK|MS|MSFT|MU|NFLX|NVDA|ORCL|PEP|PG|PLTR|PM|RTX|TMO|TMUS|TSLA|UBER|UNH|V|WFC|WMT|XOM
2026-01-01,BRK-B|DIS|JNJ|JPM|KO|LLY|LRCX|MA|MCD|META|MRK|MS|MSFT|MU|NFLX|NVDA|ORCL|PG|PLTR|PM|RTX|TMO|TMUS|TSLA|UNH|V|WFC|WMT|XOM,ACN|ADBE|ADI|ADP|AMGN|AMT|ANET|APH|BA|BKNG|BLK|BMY|BSX|BX|CB|CDNS|CEG|CMCSA|CME|COF|COP|CRWD|CVS|GILD|GOOGL|HCA|HON|HOOD|INTU
