date,tickers
2021-02-01,"AAPL,AMZN,MSFT,TSLA,GOOGL,GOOG,JNJ,JPM,DIS,INTC,HD,AVGO,BAC,CRM,ABT,ADBE,CMCSA,ABBV,CSCO,CVX,COST,BA,ACN,DHR,AMD,AMGN,BMY,HON,BLK,AMT,IBM,C,INTU,CVS,ISRG,CAT,GS,GILD,AXP,AMAT,DE,CHTR,ADI,EQIX,BDX,DUK,CCI,CME,ADP,FIS"
2021-03-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,JNJ,DIS,INTC,BAC,HD,AVGO,ABT,CVX,CRM,CMCSA,ADBE,ABBV,CSCO,BA,ACN,COST,DHR,AMD,BMY,C,HON,AMGN,INTU,BLK,IBM,CAT,AMT,GS,DE,AMAT,AXP,ISRG,CVS,CHTR,COF,ADI,GILD,CME,BKNG,FIS,EL,ADP,GE"
2021-04-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,JNJ,LB,V,WMT,DIS,NVDA,UNH,MA,PG,INTC,HD,BAC,VZ,XOM,PYPL,NFLX,KO,AVGO,CVX,ABT,PFE,ORCL,CSCO,CRM,ADBE,CMCSA,BA,PEP,ABBV,MRK,TXN,TMO,ACN,LLY,T,MCD,NEE,NKE,COST,MDT,QCOM,TMUS,DHR"
2021-05-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,JNJ,LB,V,WMT,NVDA,UNH,MA,DIS,HD,PG,BAC,INTC,PYPL,VZ,XOM,KO,PFE,ORCL,NFLX,AVGO,CRM,ADBE,ABT,CVX,CMCSA,CSCO,PEP,ABBV,BA,ACN,TMO,MRK,T,MCD,MDT,COST,TXN,LLY,NEE,DHR,NKE,UPS,QCOM"
2021-06-01,"MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,JPM,JNJ,LB,NVDA,V,WMT,UNH,MA,DIS,HD,BAC,PG,INTC,XOM,PYPL,KO,VZ,ORCL,AVGO,CRM,PFE,CVX,NFLX,CSCO,ADBE,CMCSA,PEP,BA,ABBV,ABT,MRK,LLY,ACN,TXN,TMO,COST,MCD,MDT,NKE,TMUS,UPS,T,DHR,PM"
2021-07-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,KO,LB,NVDA,JNJ,V,WMT,UNH,MA,HD,DIS,PG,BAC,PYPL,INTC,XOM,ADBE,VZ,CRM,ORCL,NFLX,PFE,AVGO,CVX,CSCO,CMCSA,LLY,ABT,PEP,ABBV,MRK,TMO,NKE,BA,ACN,COST,TXN,DHR,MCD,TMUS,MDT,T,PM,UPS"
2021-08-01,"AAPL,MSFT,AMZN,GOOGL,TSLA,GOOG,KO,LB,NVDA,V,JNJ,JPM,WMT,UNH,MA,PG,HD,DIS,BAC,ADBE,PYPL,INTC,ORCL,PFE,XOM,VZ,AVGO,CRM,NFLX,CSCO,LLY,PEP,CMCSA,ABT,ABBV,CVX,TMO,NKE,ACN,MRK,COST,DHR,BA,TXN,AMD,MCD,MDT,NEE,TMUS,QCOM"
2021-09-01,"AAPL,MSFT,AMZN,GOOGL,TSLA,GOOG,NVDA,JPM,JNJ,WMT,V,UNH,PG,DIS,HD,MA,BAC,ADBE,PYPL,PFE,ORCL,INTC,CRM,NFLX,KO,AVGO,CSCO,VZ,LLY,XOM,CMCSA,ABT,PEP,TMO,ACN,DHR,COST,ABBV,NKE,CVX,MRK,AMD,NEE,MDT,TXN,BA,MCD,MS,PM,QCOM"
2021-10-01,"MSFT,AAPL,AMZN,TSLA,GOOGL,GOOG,NVDA,JPM,V,JNJ,WMT,UNH,HD,PG,MA,BAC,DIS,NFLX,CRM,ORCL,XOM,INTC,PYPL,PFE,ADBE,AVGO,VZ,KO,CSCO,TMO,CVX,CMCSA,PEP,LLY,ABT,MRK,ACN,COST,ABBV,DHR,BA,TXN,NKE,MCD,AMD,NEE,MDT,MS,INTU,PM"
2021-11-01,"MSFT,AAPL,AMZN,TSLA,GOOGL,GOOG,NVDA,JPM,UNH,WMT,JNJ,HD,V,BAC,PG,DIS,MA,NFLX,CRM,XOM,ORCL,ADBE,AVGO,PFE,KO,TMO,INTC,CVX,ABT,VZ,LLY,CSCO,PEP,ACN,COST,MRK,PYPL,AMD,ABBV,NKE,DHR,CMCSA,MCD,NEE,TXN,INTU,BA,MS,WFC,UPS"
2021-12-01,"MSFT,AAPL,AMZN,TSLA,GOOGL,GOOG,NVDA,JPM,UNH,HD,JNJ,WMT,PG,V,BAC,PFE,ADBE,MA,AVGO,NFLX,ORCL,DIS,XOM,AMD,CRM,TMO,COST,INTC,KO,CVX,LLY,ACN,ABT,PEP,CSCO,VZ,ABBV,DHR,NKE,QCOM,MRK,INTU,NEE,CMCSA,TXN,MCD,PYPL,MS,LIN,WFC"
2022-01-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,UNH,JPM,HD,JNJ,WMT,PG,V,PFE,BAC,MA,AVGO,DIS,XOM,NFLX,ACN,KO,COST,TMO,ORCL,CSCO,LLY,INTC,ABT,ABBV,CRM,PEP,ADBE,CVX,AMD,VZ,DHR,NKE,QCOM,NEE,MCD,MRK,CMCSA,INTU,PYPL,TXN,LIN,UPS,BA"
