date,added,removed
2021-02-01,AAPL|ABBV|ABT|ACN|ADBE|AMD|AMZN|AVGO|BA|BAC|CMCSA|COST|CRM|CSCO|CVX|DHR|DIS|GOOG|GOOGL|HD|INTC|JNJ|JPM|MSFT|TSLA,
2021-04-01,KO|LB|MA|NFLX|NVDA|PG|PYPL|UNH|V|VZ|WMT|XOM,ABBV|ABT|ACN|ADBE|AMD|BA|CMCSA|COST|CRM|CSCO|CVX|DHR
2021-05-01,ORCL|PFE,AVGO|NFLX
2021-06-01,AVGO,PFE
2021-07-01,ADBE|CRM,AVGO|ORCL
2021-08-01,ORCL|PFE,CRM|VZ
2021-09-01,CRM|NFLX,LB|XOM
2021-10-01,XOM,KO
2021-11-01,AVGO|KO,INTC|PYPL
2021-12-01,AMD,KO
2022-01-01,ACN|COST|KO|TMO,ADBE|AMD|CRM|ORCL
2022-02-01,ABBV|CVX|INTC|PEP,ACN|COST|NFLX|TMO
2022-03-01,COST|VZ,INTC|PEP
2022-04-01,ABT|ACN|ADBE|AMAT|AMD|AMGN|AMT|AXP|BA|BLK|BMY|CAT|CMCSA|COP|CRM|CSCO|CVS,DIS|GOOG|GOOGL|HD|JNJ|JPM|KO|MA|NVDA|PFE|PG|TSLA|UNH|V|VZ|WMT|XOM
2022-05-01,GOOG|GOOGL|HD|JNJ|JPM|KO|LLY|MA|NVDA|PEP|PFE|PG|TSLA|UNH|V|WMT|XOM,ABT|ACN|ADBE|AMAT|AMD|AMGN|AMT|AXP|BA|BLK|BMY|CAT|CMCSA|COP|CRM|CSCO|CVS
2022-06-01,MRK,COST
2022-07-01,META,AVGO
2022-08-01,AVGO|COST,MRK|PEP
2022-09-01,PEP,AVGO
2022-10-01,MRK,COST
2022-11-01,COST,META
2022-12-01,AVGO|META,COST|PEP
2023-01-01,PEP,BAC
2023-02-01,ABT|BAC|COST|DIS|ORCL,TSLA|UNH|V|WMT|XOM
2023-03-01,CSCO|MCD,ABT|DIS
2023-04-01,TSLA|UNH|V|WMT|XOM,BAC|COST|CSCO|MCD|PFE
2023-07-01,COST,ABBV
2023-08-01,ABBV,COST
2023-09-01,COST,PEP
2023-12-01,ADBE,KO
2024-02-01,AMD,ADBE
2024-05-01,BAC,AMD
2024-06-01,AMD|CRM|KO|QCOM|TMO,META|MRK|NVDA|ORCL|PG
2024-07-01,META|MRK|NVDA|ORCL|PG,AMD|CRM|KO|QCOM|TMO
2024-08-01,KO,MRK
2024-09-01,NFLX,CVX
2024-10-01,CVX,BAC
2024-11-01,BAC,COST
2024-12-01,COST,KO
2025-02-01,CRM,CVX
2025-03-01,CVX,CRM
2025-04-01,KO,BAC
2025-05-01,BAC,CVX
2025-06-01,PLTR,UNH
2025-08-01,CVX,KO
2025-10-01,GE,CVX
2025-11-01,AMD,GE
2025-12-01,ABT|AMAT|AMGN|APH|APP|AXP|C|CAT|CRM|CSCO|CVX|GE|GS|IBM|INTU,JNJ|JPM|LLY|MA|META|MSFT|NFLX|NVDA|ORCL|PG|PLTR|TSLA|V|WMT|XOM
