date,tickers
2021-02-01,"AAPL,AMZN,MSFT,TSLA,GOOGL,GOOG,JNJ,JPM,DIS,INTC,HD,AVGO,BAC,CRM,ABT,ADBE,CMCSA,ABBV,CSCO,CVX,COST,BA,ACN,DHR,AMD"
2021-03-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,JNJ,DIS,INTC,BAC,HD,AVGO,ABT,CVX,CRM,CMCSA,ADBE,ABBV,CSCO,BA,ACN,COST,DHR,AMD"
2021-04-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,JNJ,LB,V,WMT,DIS,NVDA,UNH,MA,PG,INTC,HD,BAC,VZ,XOM,PYPL,NFLX,KO,AVGO"
2021-05-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,JNJ,LB,V,WMT,NVDA,UNH,MA,DIS,HD,PG,BAC,INTC,PYPL,VZ,XOM,KO,PFE,ORCL"
2021-06-01,"MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,JPM,JNJ,LB,NVDA,V,WMT,UNH,MA,DIS,HD,BAC,PG,INTC,XOM,PYPL,KO,VZ,ORCL,AVGO"
2021-07-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,JPM,KO,LB,NVDA,JNJ,V,WMT,UNH,MA,HD,DIS,PG,BAC,PYPL,INTC,XOM,ADBE,VZ,CRM"
2021-08-01,"AAPL,MSFT,AMZN,GOOGL,TSLA,GOOG,KO,LB,NVDA,V,JNJ,JPM,WMT,UNH,MA,PG,HD,DIS,BAC,ADBE,PYPL,INTC,ORCL,PFE,XOM"
2021-09-01,"AAPL,MSFT,AMZN,GOOGL,TSLA,GOOG,NVDA,JPM,JNJ,WMT,V,UNH,PG,DIS,HD,MA,BAC,ADBE,PYPL,PFE,ORCL,INTC,CRM,NFLX,KO"
2021-10-01,"MSFT,AAPL,AMZN,TSLA,GOOGL,GOOG,NVDA,JPM,V,JNJ,WMT,UNH,HD,PG,MA,BAC,DIS,NFLX,CRM,ORCL,XOM,INTC,PYPL,PFE,ADBE"
2021-11-01,"MSFT,AAPL,AMZN,TSLA,GOOGL,GOOG,NVDA,JPM,UNH,WMT,JNJ,HD,V,BAC,PG,DIS,MA,NFLX,CRM,XOM,ORCL,ADBE,AVGO,PFE,KO"
2021-12-01,"MSFT,AAPL,AMZN,TSLA,GOOGL,GOOG,NVDA,JPM,UNH,HD,JNJ,WMT,PG,V,BAC,PFE,ADBE,MA,AVGO,NFLX,ORCL,DIS,XOM,AMD,CRM"
2022-01-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,UNH,JPM,HD,JNJ,WMT,PG,V,PFE,BAC,MA,AVGO,DIS,XOM,NFLX,ACN,KO,COST,TMO"
2022-02-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,UNH,JNJ,JPM,V,WMT,PG,HD,MA,BAC,XOM,PFE,AVGO,CVX,KO,DIS,ABBV,PEP,INTC"
2022-03-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,NVDA,UNH,JNJ,JPM,WMT,PG,V,XOM,HD,BAC,MA,CVX,AVGO,KO,ABBV,PFE,DIS,COST,VZ"
2022-04-01,"AAPL,MSFT,AMZN,CVX,BAC,AVGO,ABBV,COST,CSCO,ACN,ABT,CRM,ADBE,AMD,CMCSA,BMY,BA,AMGN,AXP,CVS,COP,AMT,BLK,CAT,AMAT"
2022-05-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,NVDA,JNJ,WMT,PG,XOM,V,JPM,MA,CVX,HD,PFE,KO,AVGO,LLY,BAC,ABBV,COST,PEP"
2022-06-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,NVDA,JNJ,XOM,V,JPM,CVX,PG,WMT,MA,PFE,HD,LLY,AVGO,KO,BAC,ABBV,PEP,MRK"
2022-07-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,NVDA,META,PG,V,WMT,JPM,PFE,CVX,LLY,MA,HD,KO,ABBV,PEP,BAC,MRK"
2022-08-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,NVDA,JNJ,XOM,V,WMT,META,PG,CVX,MA,JPM,HD,LLY,PFE,KO,AVGO,ABBV,BAC,COST"
2022-09-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,META,WMT,NVDA,V,PG,JPM,CVX,HD,MA,LLY,KO,PFE,ABBV,BAC,PEP,COST"
2022-10-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,WMT,V,META,NVDA,PG,LLY,CVX,JPM,HD,MA,PFE,KO,ABBV,PEP,BAC,MRK"
2022-11-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,UNH,GOOG,XOM,JNJ,WMT,CVX,JPM,V,NVDA,LLY,PG,MA,HD,PFE,BAC,ABBV,KO,MRK,PEP,COST"
2022-12-01,"AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,XOM,JNJ,NVDA,WMT,JPM,V,CVX,PG,LLY,HD,MA,PFE,ABBV,KO,MRK,BAC,META,AVGO"
2023-01-01,"AAPL,MSFT,AMZN,GOOGL,UNH,GOOG,XOM,JNJ,TSLA,WMT,JPM,CVX,NVDA,PG,V,LLY,HD,MA,PFE,ABBV,MRK,KO,AVGO,META,PEP"
2023-02-01,"AAPL,MSFT,AMZN,GOOGL,GOOG,NVDA,JNJ,JPM,CVX,PG,META,MA,HD,LLY,AVGO,MRK,KO,BAC,ABBV,ORCL,PFE,PEP,COST,DIS,ABT"
2023-03-01,"AAPL,MSFT,AMZN,NVDA,GOOGL,GOOG,JPM,META,JNJ,CVX,PG,MA,HD,AVGO,LLY,ABBV,MRK,KO,BAC,ORCL,PEP,PFE,COST,CSCO,MCD"
2023-04-01,"AAPL,MSFT,AMZN,TSLA,NVDA,GOOGL,GOOG,XOM,META,UNH,WMT,V,JNJ,JPM,PG,CVX,MA,LLY,AVGO,HD,ABBV,ORCL,KO,MRK,PEP"
2023-05-01,"AAPL,MSFT,AMZN,NVDA,GOOGL,GOOG,TSLA,META,XOM,UNH,WMT,JNJ,V,JPM,PG,LLY,MA,CVX,AVGO,HD,MRK,KO,ORCL,ABBV,PEP"
2023-06-01,"AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,GOOG,META,UNH,XOM,WMT,LLY,V,AVGO,JPM,JNJ,PG,MA,ORCL,CVX,HD,MRK,KO,PEP,ABBV"
2023-07-01,"AAPL,MSFT,AMZN,NVDA,TSLA,GOOGL,GOOG,META,XOM,UNH,LLY,WMT,AVGO,V,JNJ,JPM,PG,MA,ORCL,CVX,HD,MRK,KO,PEP,COST"
2023-08-01,"AAPL,MSFT,AMZN,NVDA,TSLA,GOOGL,GOOG,META,UNH,XOM,AVGO,JPM,WMT,JNJ,LLY,V,PG,MA,ORCL,HD,CVX,KO,ABBV,MRK,PEP"
